Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
115	760.0	234.99467	983.0	406.0	685.7	372.0277	990.0	0.0	1000.0	1000.0	459999	113.42994	35.32356	199.276	3.3570497	-113.97524	0.66658485	8768.796050071716
116	708.75	408.0909	975.0	4.0	612.2	466.97748	1000.0	0.0	1000.0	1000.0	463999	113.60708	35.28186	184.21472	4.1954274	-114.161606	0.6979673	8848.534649848938
117	741.5	428.18076	998.0	0.0	842.7	302.85312	1000.0	0.0	1000.0	1000.0	467999	114.25001	34.798187	173.16333	2.039968	-114.83449	0.70743	8928.351197242737
118	731.75	415.02612	980.0	13.0	593.1	484.30164	997.0	0.0	1000.0	1000.0	471999	115.14436	33.99724	173.21104	3.1954024	-115.73531	0.69895583	9008.15676856041
119	678.75	395.67813	991.0	0.0	705.5	416.34247	1000.0	0.0	1000.0	1000.0	475999	115.76172	33.84119	176.66187	2.905809	-116.32215	0.6869725	9088.141682863235
120	717.25	414.9948	980.0	0.0	791.0	315.11142	981.0	5.0	1000.0	1000.0	479999	116.2526	34.600105	182.77994	2.3015246	-116.83547	0.7169322	9168.007817983627
121	791.25	340.29205	1000.0	202.0	680.9	446.1857	993.0	0.0	1000.0	1000.0	483999	116.82009	35.31905	188.20097	2.302432	-117.38808	0.65826523	9247.778244972229
122	904.25	143.41788	995.0	656.0	881.3	293.7196	997.0	1.0	1000.0	1000.0	487999	116.82542	35.902718	186.87073	2.316015	-117.3757	0.6459794	9327.606197595596
123	975.25	15.155444	998.0	961.0	783.7	391.8967	989.0	0.0	1000.0	1000.0	491999	116.45447	35.655865	182.99	0.45422173	-116.96763	0.6174115	9407.587692975998
124	847.0	214.0479	986.0	477.0	977.8	15.73404	1000.0	948.0	1000.0	1000.0	495999	116.11892	35.127636	177.16188	-13.083883	-116.65186	0.63200754	9487.265362977982
125	972.0	17.62101	992.0	953.0	827.8	308.975	997.0	6.0	1000.0	1000.0	499999	115.63081	34.58396	172.2443	-12.501239	-116.13491	0.5724734	9567.189493894577
126	698.0	405.31036	976.0	0.0	874.5	289.9142	993.0	6.0	1000.0	1000.0	503999	115.27669	34.114285	168.74902	-10.6123495	-115.80836	0.5771767	9647.009420871735
127	958.75	34.53531	980.0	899.0	687.4	444.66577	994.0	0.0	1000.0	1000.0	507999	115.34367	33.598347	166.88666	-8.226308	-115.878075	0.55479693	9726.803733825684
128	962.75	13.772709	980.0	942.0	956.0	59.86318	998.0	782.0	1000.0	1000.0	511999	115.23235	33.315903	166.01593	-1.8080921	-115.73633	0.57362795	9806.63452386856
129	993.5	4.609772	999.0	988.0	979.3	16.994411	1000.0	950.0	1000.0	1000.0	515999	114.6396	33.80302	167.13329	-1.9524612	-115.14378	0.57318157	9886.619713544846
130	985.5	12.379418	1000.0	970.0	970.8	16.406097	998.0	950.0	1000.0	1000.0	519999	114.69424	33.5233	162.1251	-0.1889205	-115.21019	0.59286964	9966.59689950943
131	964.5	35.808517	1000.0	912.0	980.8	8.908423	991.0	961.0	1000.0	1000.0	523999	114.656	33.707493	158.4625	-1.6142993	-115.16112	0.5701512	10046.703669786453
132	936.5	48.777557	975.0	853.0	968.3	28.057262	996.0	900.0	1000.0	1000.0	527999	114.29919	33.842606	155.72008	-4.133853	-114.776535	0.54866767	10126.785593509674
133	973.25	14.720309	992.0	952.0	986.3	11.118004	1000.0	964.0	1000.0	1000.0	531999	113.63948	33.547337	156.07793	-3.7113006	-114.09019	0.52767843	10206.919168233871
134	729.0	421.038	990.0	0.0	705.0	418.34412	994.0	6.0	1000.0	1000.0	535999	112.77261	33.58262	155.70001	-5.3075275	-113.23475	0.51339626	10286.957336425781
