Checkpoint,Return,Undiscounted Return,Soft Return,Q1,Q2,AvgQ,MSE,MAE
66.0,69.9508635162579,798.9,72.15157165527344,81.76932868957519,81.75410270690918,81.76171569824218,92.35486852660759,9.610144042968741
67.0,70.44925226894892,808.5,73.05006694793701,81.0427864074707,80.9476188659668,80.99520263671874,63.125181113153175,7.945135688781733
68.0,71.94973322494474,815.8,73.07114734649659,81.76788291931152,82.15568733215332,81.96178512573242,79.04344012157543,8.890637779235831
69.0,73.58694803609623,823.3,75.73712882995605,83.66068420410156,83.60730743408203,83.6339958190918,62.360508244101844,7.896866989135745
70.0,73.05561476178386,814.85,77.43762817382813,83.16457252502441,82.78428688049317,82.97442970275878,30.656171170768815,5.536801528930653
71.0,72.17195138641847,836.6,77.47095165252685,81.1417911529541,81.13729438781738,81.13954277038575,13.458560790033179,3.6685911178588952
72.0,70.05439646071764,836.0,70.3202600479126,79.99063835144042,80.1033950805664,80.04701671600341,94.60979528024913,9.726756668090815
73.0,74.80808283877911,850.85,75.7784294128418,81.98581237792969,81.44403953552246,81.71492595672608,35.24199121554994,5.9364965438842745
74.0,78.03793640899434,871.1,80.62389297485352,83.5827018737793,83.61627578735352,83.5994888305664,8.854170696535679,2.975595855712882
75.0,73.67471242247248,866.9,76.33134117126465,83.56347770690918,83.73123817443847,83.64735794067383,53.52410137027625,7.316016769409174
76.0,77.3913975614553,883.05,79.9214714050293,85.52236061096191,85.3988426208496,85.46060161590576,30.68196349304435,5.539130210876465
77.0,75.50554165678743,861.5,75.43686084747314,85.33353157043457,85.55085678100586,85.44219417572022,100.10669500933172,10.005333328247076
78.0,69.31577116955411,801.6,70.06994915008545,85.81822891235352,85.65164337158203,85.73493614196778,245.3918174558426,15.66498699188233
79.0,72.73753650786249,851.3,75.712935256958,85.3403163909912,85.55677909851075,85.44854774475098,94.78215051247057,9.735612487792977
80.0,73.44548791783618,887.25,74.72971382141114,84.43586769104004,84.50467109680176,84.4702693939209,94.878422861151,9.740555572509763
81.0,78.29624578289288,883.8,80.79919967651367,86.71968116760254,86.78729019165038,86.75348567962646,35.453521806864984,5.954286003112799
82.0,75.16847537988764,843.95,78.40753974914551,87.37926635742187,87.58858833312988,87.48392734527587,82.38081179518905,9.07638759613036
83.0,77.96250261692845,891.15,78.94389610290527,87.23241081237794,87.39644966125488,87.3144302368164,70.06584168697145,8.370534133911136
84.0,77.0418073479271,872.8,81.46395416259766,87.95371017456054,87.74115829467773,87.84743423461914,40.748817829895415,6.383480072021484
